City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Adrar,MR,20.5022,-10.0711,92.86,23,6,14.5,clear sky
201,Waddan,LY,29.1614,16.139,86.5,20,2,7.54,clear sky
202,Itabira,BR,-19.6192,-43.2269,67.41,79,8,2.71,clear sky
203,Ancud,CL,-41.8697,-73.8203,47.73,80,5,3.96,clear sky
204,A Coruna,ES,43.3713,-8.396,61.52,100,20,2.3,few clouds
205,Gushikawa,JP,26.3544,127.8686,83.43,78,1,0.0,clear sky
206,Fortuna,US,40.5982,-124.1573,70.14,49,1,7.72,clear sky
207,Ribeira Grande,PT,38.5167,-28.7,70.83,72,3,13.15,clear sky
208,Conde,BR,-7.2597,-34.9075,72.86,88,0,5.75,clear sky
209,Provideniya,RU,64.3833,-173.3,33.91,75,90,4.47,rain and snow
210,Leningradskiy,RU,69.3833,178.4167,25.63,82,99,10.78,overcast clouds
211,Zhanaozen,KZ,43.3,52.8,65.95,32,82,13.09,broken clouds
212,Heihe,CN,50.2441,127.4902,39.78,81,100,1.72,overcast clouds
213,Puksoozero,RU,62.5903,40.6066,29.77,95,14,4.7,few clouds
214,Alice Springs,AU,-23.7,133.8833,54.95,41,8,20.71,clear sky
215,Abu Dhabi,AE,24.4667,54.3667,89.62,79,20,4.61,few clouds
216,Hami,CN,42.8,93.45,72.59,30,100,3.74,overcast clouds
217,Cherskiy,RU,68.75,161.3,30.25,60,89,5.93,overcast clouds
218,Acapulco,MX,16.8634,-99.8901,85.82,70,40,8.05,scattered clouds
219,Havre-Saint-Pierre,CA,50.2334,-63.5986,53.96,76,90,5.75,overcast clouds
220,Greensburg,US,40.3015,-79.5389,78.8,73,1,0.0,clear sky
221,Uptar,RU,59.75,150.9167,40.26,73,88,5.99,overcast clouds
222,Ceres,US,37.5949,-120.9577,91.72,14,0,5.41,clear sky
223,Doctor Juan Leon Mallorquin,PY,-25.4,-55.2667,89.33,33,1,0.96,clear sky
224,Alofi,NU,-19.0595,-169.9187,73.29,94,75,5.75,light intensity shower rain
225,Hyeres,FR,43.1167,6.1167,63.25,77,0,2.3,clear sky
226,El Tarra,CO,8.5756,-73.0949,76.64,96,94,2.15,overcast clouds
227,Inta,RU,66.0317,60.1659,35.87,88,100,13.91,overcast clouds
228,Robertson,US,36.5167,-86.8667,75.16,94,90,3.44,light rain
229,Jizan,SA,17.3333,42.6667,88.74,68,33,0.49,scattered clouds
230,Esmeraldas,BR,-19.7625,-44.3139,77.86,51,61,13.73,broken clouds
231,Syriam,MM,16.7722,96.2378,77.11,88,90,3.44,heavy intensity rain
232,Kodinar,IN,20.7903,70.7031,79.0,90,80,10.69,broken clouds
233,Traverse City,US,44.7631,-85.6206,74.14,88,75,8.05,broken clouds
234,Haimen,CN,23.1935,116.6142,82.29,88,12,5.14,few clouds
235,Vestmannaeyjar,IS,63.4427,-20.2734,49.12,73,100,13.98,overcast clouds
236,Egvekinot,RU,66.3167,-179.1667,26.53,60,9,4.41,clear sky
237,Olmos,PE,-5.9847,-79.7453,75.29,54,12,8.86,few clouds
238,Muskogee,US,35.5834,-95.3336,95.54,49,1,11.5,clear sky
239,Vardo,NO,70.3705,31.1107,43.38,74,43,26.35,scattered clouds
240,Zhigansk,RU,66.7697,123.3711,33.28,75,99,6.11,overcast clouds
241,Sekondi,GH,4.937,-1.7128,76.06,92,77,7.16,broken clouds
242,Nouadhibou,MR,20.931,-17.0347,75.18,69,0,20.71,clear sky
243,Rabat,MA,33.9911,-6.8401,67.41,100,40,0.0,scattered clouds
244,Porbandar,IN,21.6422,69.6093,81.03,88,98,14.36,overcast clouds
