City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
237,Vanimo,PG,2021-09-20 01:55:21,-2.6741,141.3028,82.83,74,71,6.26
238,Faya,SA,2021-09-20 01:55:23,18.3851,42.4509,64.51,24,0,2.73
239,Antofagasta,CL,2021-09-20 01:55:24,-23.65,-70.4,56.48,78,50,7.83
240,Manisa,TR,2021-09-20 01:55:25,38.8333,28.1667,67.71,49,0,3.2
241,Tilichiki,RU,2021-09-20 01:55:26,60.4667,166.1,48.85,84,100,11.52
242,Antalaha,MG,2021-09-20 01:55:27,-14.9003,50.2788,70.56,79,99,10.51
243,Ati,TD,2021-09-20 01:55:29,13.2154,18.3353,80.53,64,42,7.14
244,Provideniya,RU,2021-09-20 01:55:30,64.3833,-173.3,37.51,48,40,15.66
245,Luderitz,NA,2021-09-20 01:55:31,-26.6481,15.1594,52.99,85,32,9.57
246,Karratha,AU,2021-09-20 01:55:31,-20.7377,116.8463,87.57,13,3,23.0
247,Pimenta Bueno,BR,2021-09-20 01:55:32,-11.6725,-61.1936,85.42,39,65,3.83
248,Mitsamiouli,KM,2021-09-20 01:55:34,-11.3847,43.2844,75.78,71,4,5.5
249,Yulara,AU,2021-09-20 01:55:35,-25.2406,130.9889,69.64,23,9,23.02
250,Kidal,ML,2021-09-20 01:55:36,18.4411,1.4078,87.66,16,12,4.18
251,Serenje,ZM,2021-09-20 01:55:38,-13.2325,30.2352,55.74,84,0,3.98
252,Aykhal,RU,2021-09-20 01:55:39,66.0,111.5,33.62,67,100,11.27
253,Comodoro Rivadavia,AR,2021-09-20 01:55:41,-45.8667,-67.5,46.26,49,0,3.44
254,Abonnema,NG,2021-09-20 01:55:43,4.7084,6.7931,76.93,89,92,4.54
255,Belaya Gora,RU,2021-09-20 01:55:44,68.5333,146.4167,33.12,57,100,12.97
256,Cocula,MX,2021-09-20 01:52:39,20.3652,-103.8222,71.35,94,100,2.35
257,Kotelnich,RU,2021-09-20 01:55:46,58.3089,48.348,36.3,67,97,3.65
258,Southbridge,US,2021-09-20 01:55:47,42.0751,-72.0334,59.63,93,0,1.41
259,Ahualulco,MX,2021-09-20 01:55:48,22.4,-101.1667,67.06,63,27,13.35
260,Pedasi,PA,2021-09-20 01:55:49,7.5333,-80.0333,80.17,80,47,4.68
261,Ahipara,NZ,2021-09-20 01:55:50,-35.1667,173.1667,60.75,64,0,7.83
262,Brae,GB,2021-09-20 01:55:51,60.3964,-1.353,53.51,91,3,12.33
263,Necochea,AR,2021-09-20 01:55:52,-38.5473,-58.7368,53.04,90,100,12.48
264,Tura,IN,2021-09-20 01:55:53,25.5198,90.2201,76.08,87,53,4.47
265,Qandala,SO,2021-09-20 01:55:54,11.472,49.8728,87.35,60,33,3.27
266,Troitskoye,RU,2021-09-20 01:55:55,52.9821,84.6757,42.26,70,18,13.98
267,Mouila,GA,2021-09-20 01:55:56,-1.8685,11.0559,74.25,91,97,3.49
268,Kulhudhuffushi,MV,2021-09-20 01:55:58,6.6221,73.07,82.33,77,52,9.91
269,Kirakira,SB,2021-09-20 01:55:59,-10.4544,161.9205,84.06,73,91,14.18
270,Oranjemund,NA,2021-09-20 01:56:00,-28.55,16.4333,57.87,69,100,6.35
271,Okhotsk,RU,2021-09-20 01:56:01,59.3833,143.3,51.13,60,100,8.68
272,Simao,CN,2021-09-20 01:56:02,22.7886,100.9748,64.99,100,100,1.43
273,Progreso,MX,2021-09-20 01:56:03,21.2833,-89.6667,84.11,81,42,12.35
274,Arlit,NE,2021-09-20 01:56:04,18.7369,7.3853,88.92,11,35,8.41
275,Sioux Lookout,CA,2021-09-20 01:56:06,50.1001,-91.917,75.27,69,75,9.22
276,Pitsunda,GE,2021-09-20 01:56:07,43.1592,40.3378,62.78,67,82,9.73
277,Sekoma,BW,2021-09-20 01:56:08,-24.4,23.8833,66.06,38,12,7.78
278,Payo,ID,2021-09-20 01:56:09,-3.7508,103.6372,83.01,68,71,2.44
279,Mega,ET,2021-09-20 01:56:10,4.05,38.3,58.96,61,43,14.65
280,Evensk,RU,2021-09-20 01:56:11,61.95,159.2333,47.84,89,100,11.12
281,Puksoozero,RU,2021-09-20 01:56:12,62.5903,40.6066,36.23,80,100,4.07
282,Vila Franca Do Campo,PT,2021-09-20 01:56:13,37.7167,-25.4333,68.41,79,18,8.19
283,Isangel,VU,2021-09-20 01:56:14,-19.55,169.2667,80.71,57,75,11.5
284,Flinders,AU,2021-09-20 01:55:25,-34.5833,150.8552,78.06,35,0,10.0
285,Lagoa,PT,2021-09-20 01:56:16,39.05,-27.9833,69.28,62,100,10.92
286,Schladming,AT,2021-09-20 01:56:17,47.3929,13.687,52.88,99,100,4.9
287,Miranda,CO,2021-09-20 01:56:18,3.2499,-76.2281,73.53,90,98,4.99
288,Hede,CN,2021-09-20 01:56:19,33.7681,120.2517,69.28,92,100,13.67
289,Mehamn,NO,2021-09-20 01:56:20,71.0357,27.8492,43.52,72,100,15.48
290,Mercedes,AR,2021-09-20 01:55:29,-34.6515,-59.4307,63.84,95,100,8.61
291,Kefamenanu,ID,2021-09-20 01:56:22,-9.4467,124.4781,86.18,39,16,14.05
